Skill,Description,Category,Work in Bitbucket?,Mapping Type,File Extension,Ambiguous?,Ambiguity Resolver,Legacy/Contemporary,Reason,Comments
Parasoft,"Testing tool for static analysis, API, and service virtualization.",Tool (Testing),Partial,Inferred,".xml, .json",Yes,Detect Parasoft configuration or test files.,Contemporary,Common in API and service-level testing.,Validation relies on proprietary configs.
Pega / PegaRules Process Commander (PRPC),Pega’s BPM platform for building process-driven applications.,Technology (BPM),Yes,Direct,".xml, .java",Yes,Detect Pega-specific rule definitions in XML files.,Contemporary,Widely adopted for enterprise workflow solutions.,Validation via proprietary artifacts.
Perfecto - Mobile Automation,Cloud-based platform for mobile application testing.,Tool (Testing),Partial,Inferred,".xml, .java",Yes,Detect Perfecto test scripts and integrations.,Contemporary,Common in mobile automation suites.,Validation through specific API usage.
Performance Engineering/Architect,Role focused on ensuring system performance during design and implementation.,Role,No,Not Applicable,N/A,N/A,N/A,Contemporary,Important for high-scale systems.,Cannot be validated via code.
Performance Testing,Practice of testing application performance under load.,Concept,Partial,Inferred,".jmx, .lrs",Yes,Detect JMeter (.jmx) or LoadRunner (.lrs) scripts.,Contemporary,Core in DevOps and QA processes.,Validation via performance test artifacts.
Performance Tuning and Capacity Monitoring Engineer,Role responsible for optimizing performance and monitoring capacity.,Role,No,Not Applicable,N/A,N/A,N/A,Contemporary,Focused on operational optimization.,Cannot be validated in code.
Peripro,Legacy financial software for investment accounting.,Technology (Finance),Partial,Inferred,".cfg, .txt",Yes,Detect Peripro configuration and mapping files.,Legacy,Rare usage in modern environments.,Detection relies on proprietary configs.
Portal Technologies - IBM WPS/Backbase,Web portal frameworks for enterprise applications.,Technology (Portal),Yes,Direct,".jsp, .xml",Yes,Detect WPS or Backbase templates and configs.,Legacy,Superseded by modern UI frameworks.,Validation through template structure.
Power Builder,Development environment for building client-server applications.,Tool (Development),Yes,Direct,".pbl, .sra",No,Detect PowerBuilder library (.pbl) files.,Legacy,Usage limited to legacy systems.,Detection easy via proprietary extensions.
Puppet,Configuration management tool for automating infrastructure.,Tool (Automation),Yes,Direct,.pp,No,Detect Puppet manifests with resource declarations.,Contemporary,Still popular for infrastructure automation.,Easy detection via .pp extension.
Python,"High-level programming language widely used for application development, automation, and data science.",Language,Yes,Direct,.py,No,Detect Python scripts and packages.,Contemporary,Most popular language for modern development.,Detection straightforward via file extension.
QlikView,Business intelligence and data visualization tool from Qlik.,Tool (BI),Yes,Direct,".qvw, .qvd",No,Detect QlikView files (.qvw).,Contemporary,Still used but shifting to Qlik Sense.,Detection via proprietary file extensions.
Quartz,Java-based job scheduling library for enterprise applications.,Tool (Scheduler),Yes,Direct,".java, .xml",Yes,Detect org.quartz imports and quartz.properties.,Contemporary,Common for batch processing and scheduled tasks.,Validation via dependencies and configs.
R (Statistical Computing),Language for statistical analysis and data visualization.,Language,Yes,Direct,.r,No,Detect .r files with R syntax and libraries.,Contemporary,Popular in data science and analytics.,Detection via script files.
RDF (Resource Description Framework),Standard for data interchange on the web using triples (subject-predicate-object).,Concept,Yes,Direct,".rdf, .ttl",No,Detect RDF/XML syntax or Turtle files.,Contemporary,Used in semantic web and linked data.,Detection easy via file types.
ReactJS,JavaScript library for building user interfaces.,Framework,Yes,Direct,".jsx, .js",Yes,Detect React-specific syntax like JSX and React.createElement.,Contemporary,Core in modern web development.,Detection via JSX and component structure.
Real Time Impact,"Analytical platform for real-time decisioning, often in banking/marketing contexts.",Tool (Analytics),Partial,Inferred,".xml, .json",Yes,Detect RTI API references or integration configs.,Contemporary,Used for fraud detection and personalization.,Validation via proprietary configs.
Remedy Analytics Developer,Developer role specializing in analytics on BMC Remedy platform.,Role,No,Not Applicable,N/A,N/A,N/A,Contemporary,Focused on ITSM analytics development.,Cannot validate in code.
RSA Envision,Security information and event management (SIEM) platform for monitoring and alerting.,Tool (Security),Partial,Inferred,".xml, .cfg",Yes,Detect SIEM configuration files and RSA-specific tags.,Legacy,Replaced by modern RSA NetWitness.,Detection relies on configs.
Ruby,Dynamic programming language popular for web apps and scripting.,Language,Yes,Direct,.rb,No,Detect Ruby syntax and gems in Gemfile.,Contemporary,Still widely used for Rails-based applications.,Easy detection via file extensions and Gemfiles.
Ruby on Rails,Web application framework written in Ruby for building scalable apps.,Framework,Yes,Direct,.rb,No,Detect Rails folder structure and Gemfile with Rails gems.,Contemporary,Popular for rapid web development.,Easy validation via folder structure and Gemfile.
Sailpoint Security Suite,Identity governance platform for managing user access and compliance.,Tool (Security),Partial,Inferred,".xml, .cfg",Yes,Detect Sailpoint connector configs and provisioning rules.,Contemporary,Common for IAM implementations.,Detection relies on configs and API calls.
Salesforce - SFDC,Salesforce CRM platform for managing customer relationships.,Technology (CRM),Yes,Direct,".cls, .trigger",No,Detect Apex classes and triggers in Salesforce repos.,Contemporary,Leading CRM solution globally.,Validation through Apex and metadata files.
Salesforce Administration,Role managing Salesforce configurations and settings.,Role,No,Not Applicable,N/A,N/A,N/A,Contemporary,"Focused on setup, not code-based detection.",Cannot validate in repositories.
Salesforce Cloud Computing,Salesforce-based cloud services for CRM and platform solutions.,Concept,No,Not Applicable,N/A,N/A,N/A,Contemporary,Core component of SaaS solutions.,Cannot be validated in code.
SAP ABAP,Programming language for SAP applications.,Language,Yes,Direct,".abap, .sap",No,Detect ABAP-specific syntax and function modules.,Contemporary,Still widely used in SAP environments.,Validation through proprietary syntax.
SAP Business Objects,BI suite for reporting and analytics.,Tool (BI),Partial,Inferred,".xml, .unx",Yes,Detect BO universes and report configs.,Contemporary,Still in use for reporting solutions.,Detection via exported reports.
SAP FICO,SAP module for financial accounting and controlling.,Technology (ERP),Partial,Inferred,".xml, .cfg",Yes,Detect SAP FICO configs and tables in code.,Contemporary,Core ERP module for finance operations.,Detection through integration scripts.
SAP HANA,In-memory database platform for real-time analytics and applications.,Technology (Database),Yes,Direct,".hdbtable, .hdbview",No,Detect SAP HANA artifacts in repositories.,Contemporary,Essential for SAP S/4HANA implementations.,Detection via proprietary file extensions.
SAP Netweaver,SAP’s application server and integration framework.,Technology (Middleware),Partial,Inferred,".xml, .cfg",Yes,Detect NetWeaver-specific configs and APIs.,Legacy,Slowly being phased out with modern cloud frameworks.,Detection relies on proprietary files.
SAP-BASIS,Middleware and system administration component for SAP environments.,Technology (Middleware),No,Not Applicable,N/A,N/A,N/A,Contemporary,"Focused on administration tasks, not code.",Cannot validate in code repositories.
SAP-BI,SAP Business Intelligence suite for analytics and reporting.,Tool (BI),Partial,Inferred,".xml, .unx",Yes,Detect BI queries and reporting metadata files.,Contemporary,Core for SAP analytics stack.,Detection via report configs.
SAP-BPC,SAP Business Planning and Consolidation tool for financial planning.,Tool (Planning),Partial,Inferred,".xml, .cfg",Yes,Detect BPC-specific integration configs.,Contemporary,Used in finance and budgeting solutions.,Proprietary detection through configs.
SAP-CE/PORTAL,SAP Composite Environment and Enterprise Portal for UI and workflows.,Technology (Portal),Partial,Inferred,".xml, .jsp",Yes,Detect portal component structures and SAPUI5 references.,Legacy,Gradually replaced by SAP Fiori and Launchpad.,Detection relies on configs.
SAP-ECC,SAP ERP Central Component for enterprise operations.,Technology (ERP),Partial,Inferred,".xml, .cfg",Yes,Detect ECC tables and integration references.,Legacy,Migrating to S/4HANA environments.,Validation via SAP connector configs.
SAP-PI (Process Integration),SAP integration platform for connecting systems.,Technology (Integration),Partial,Inferred,".xml, .tpz",Yes,Detect PI-specific mappings and integration artifacts.,Legacy,Superseded by SAP PO and CPI.,Detection through proprietary formats.
SAP-SECURITY,SAP security module for access controls and compliance.,Concept,No,Not Applicable,N/A,N/A,N/A,Contemporary,Crucial for enterprise compliance.,Cannot validate via code repositories.
SAS,Statistical analysis system for data analytics and modeling.,Tool (Analytics),Yes,Direct,.sas,No,Detect .sas files with SAS-specific syntax.,Contemporary,Still widely used for statistical modeling.,Validation through scripts.
SAS eMiner,Enterprise Miner for advanced predictive analytics in SAS.,Tool (Analytics),Partial,Inferred,".xml, .spk",Yes,Detect SAS eMiner project files and configs.,Contemporary,Specialized tool for advanced analytics.,Detection via exported models.
SAS GRID,SAS platform for distributed analytics and grid computing.,Technology (Analytics),Partial,Inferred,".xml, .cfg",Yes,Detect SAS Grid configs for distributed jobs.,Contemporary,Used in large-scale analytical environments.,Validation via system-level configs.
SAS Spotfire,Analytics and visualization tool for BI and predictive modeling.,Tool (BI/Analytics),Yes,Direct,.dxp,No,Detect .dxp files or Spotfire integration scripts.,Contemporary,Still popular in enterprise analytics.,Detection via project files.
Savvion,BPM platform for process automation (acquired by Aurea).,Technology (BPM),Partial,Inferred,".bpmn, .xml",Yes,Detect Savvion-specific workflow configs.,Legacy,Largely phased out in favor of modern BPM tools.,Validation via process files.
Scala,JVM-based functional programming language for data processing and distributed computing.,Language,Yes,Direct,.scala,No,Detect Scala syntax and sbt project files.,Contemporary,Key in big data tools like Apache Spark.,Detection easy via file extension.
Scikit Learn (SKLearn),Python library for machine learning and predictive modeling.,Tool (AI/ML),Yes,Inferred,.py,Yes,Detect import sklearn in Python scripts.,Contemporary,Core library in data science pipelines.,Detection through imports.
Selenium,Open-source tool for automating web browsers for testing.,Tool (Testing),Yes,Direct,".java, .py",Yes,"Detect Selenium API imports (e.g., org.openqa.selenium).",Contemporary,Widely used in UI automation testing.,Validation through libraries in code.
SIEBEL,CRM platform by Oracle for customer relationship management.,Technology (CRM),Partial,Inferred,".xml, .cfg",Yes,Detect Siebel-specific configuration artifacts.,Legacy,Being replaced by modern cloud-based CRMs.,Validation via integration files.
Silanis (eSignature),Electronic signature solution for secure document workflows.,Tool (eSignature),Partial,Inferred,".xml, .json",Yes,Detect API calls or configs for Silanis connectors.,Legacy,Superseded by tools like DocuSign.,Detection relies on proprietary configs.
Silverlite,Microsoft’s framework for building rich internet applications.,Framework,Yes,Direct,".xaml, .cs",Yes,Detect Silverlight-specific XAML elements.,Legacy,Deprecated; no longer supported by Microsoft.,Validation via XAML tags and DLLs.
Siperian,Master Data Management solution for customer data.,Technology (MDM),Partial,Inferred,".xml, .cfg",Yes,Detect Siperian-specific configs and integration scripts.,Legacy,Absorbed into Informatica MDM.,Detection depends on proprietary files.
Siteminder (Access Management),Tool for secure access management and single sign-on (SSO).,Tool (Security),Partial,Inferred,".xml, .cfg",Yes,Detect Siteminder-specific configuration files.,Legacy,Declining as modern IAM solutions emerge.,Validation through config scans.
SOAtest,Parasoft’s service and API testing solution for SOA and microservices.,Tool (Testing),Partial,Inferred,".xml, .json",Yes,Detect SOAtest configs or service virtualization artifacts.,Contemporary,Used in API testing environments.,Detection depends on configs.
Splunk Enterprise,"Platform for searching, monitoring, and analyzing machine-generated data.",Tool (Analytics),Yes,Direct,.conf,No,Detect Splunk .conf files and dashboards.,Contemporary,Dominant in log analytics and observability.,Easy validation via config files.
Spotfire,Visualization and analytics tool by TIBCO for BI.,Tool (BI),Yes,Direct,.dxp,No,Detect .dxp files for Spotfire projects.,Contemporary,Common in advanced analytics use cases.,Validation through proprietary extensions.
Spring Boot,"Java-based framework for building standalone, production-ready applications.",Framework,Yes,Direct,.java,Yes,Detect Spring Boot annotations like @SpringBootApplication.,Contemporary,Widely used in microservices and modern app dev.,Easy detection via annotations and POM dependencies.
Stratus,High-availability computing platform for mission-critical workloads.,Technology (Platform),Partial,Inferred,.cfg,Yes,Detect references to Stratus configs in scripts.,Legacy,Usage limited to specific environments.,Validation depends on integration configs.
Sungard LDRPS,Disaster recovery planning software for business continuity.,Tool (DRP),Partial,Inferred,".xml, .json",Yes,Detect Sungard-specific integration configs.,Legacy,Largely phased out by modern DR solutions.,Validation via proprietary files.
Sungard Stream GMI,Margin and collateral management system for clearing firms.,Technology (Finance),Partial,Inferred,".cfg, .xml",Yes,Detect configs referencing GMI schemas.,Contemporary,Still used in financial risk operations.,Detection limited to integration artifacts.
Sybase Power Designer,Data modeling and metadata management tool by SAP (Sybase).,Tool (Modeling),Yes,Direct,.pdm,No,Detect .pdm files for PowerDesigner projects.,Legacy,Usage reduced after SAP ecosystem changes.,Easy validation via proprietary extensions.
Symant,Likely refers to Symantec (endpoint and enterprise security solutions).,Tool (Security),No,Not Applicable,N/A,Yes,Validate if referring to Symantec security configurations.,Contemporary,Important for endpoint security in enterprises.,Cannot be validated in source code.
TIBCO,Middleware and integration platform for enterprise applications.,Technology (Integration),Yes,Direct,.xml,Yes,Detect TIBCO-specific configs and adapters in XML.,Contemporary,Still widely used in integration-heavy enterprises.,Easy validation through adapter files.
TLM (Transaction Lifecycle Management),Platform for managing and tracking financial transaction lifecycles.,Technology (Finance),Partial,Inferred,".xml, .cfg",Yes,Detect TLM configs or integration references.,Contemporary,Common in reconciliation and settlements.,Validation depends on proprietary files.
Tosca OSV-Orchestrated Service Virtualization,Component of Tosca for service virtualization.,Tool (Testing),Partial,Inferred,".xml, .json",Yes,Detect Tosca OSV virtualization configs.,Contemporary,Used in API and service virtualization testing.,Detection via configs and automation scripts.
Tosca Testsuite - Test Automation,Tosca’s platform for end-to-end automated testing.,Tool (Testing),Yes,Direct,".xml, .tosca",Yes,Detect Tosca automation artifacts.,Contemporary,Popular in enterprise QA automation.,Detection through proprietary extensions.
TouchPoint - FIS (IBM Business Partner),Banking solution for customer engagement and transactions.,Technology (Finance),Partial,Inferred,".xml, .json",Yes,Detect TouchPoint configs or FIS API usage.,Contemporary,Widely used in retail banking.,Validation through proprietary integrations.
Trifacta,Data wrangling tool for cleaning and preparing data for analytics.,Tool (Data Prep),Partial,Inferred,".json, .wrangle",Yes,Detect wrangle scripts or Trifacta-specific configs.,Contemporary,Common in modern data engineering workflows.,Validation via proprietary script formats.
Trillium,Data quality and cleansing tool for master data and analytics.,Tool (Data Quality),Partial,Inferred,".xml, .json",Yes,Detect Trillium job configs or reference data.,Contemporary,Still relevant in MDM ecosystems.,Detection through exported job definitions.
TSYS,Payment processing platform for credit/debit card transactions.,Technology (Finance),Partial,Inferred,".cfg, .xml",Yes,Detect TSYS API references and job configs.,Contemporary,Common in payment processing solutions.,Validation limited to configs.
TUXEDO,Transaction processing middleware for distributed applications.,Technology (Middleware),Yes,Direct,".c, .h, .ubb",Yes,Detect TUXEDO UBBCONFIG files or APIs in C code.,Legacy,Declining adoption with modern middleware solutions.,Detection through proprietary config formats.
UI Architect,Role focused on designing user interfaces for web and mobile applications.,Role,No,Not Applicable,N/A,N/A,N/A,Contemporary,Cannot validate through source code.,Role-based validation not possible.
UI Canjs,JavaScript MVC framework for building web applications.,Framework,Yes,Direct,.js,Yes,Detect CanJS-specific API calls in scripts.,Legacy,Replaced by modern JS frameworks like React and Angular.,Detection through imports and syntax.
UI Designer,Role focused on designing user interfaces for web and mobile apps.,Role,No,Not Applicable,N/A,N/A,N/A,Contemporary,Critical role in UX/UI teams.,Cannot validate in code.
UI DOJO,"JavaScript toolkit for building modular, interactive web apps.",Framework,Yes,Direct,.js,Yes,Detect Dojo-specific syntax like dojo.require or AMD modules.,Legacy,Largely replaced by modern JS frameworks.,Detection via code patterns.
UI Kendo UI,UI framework for building modern web apps with HTML5 and JavaScript.,Framework,Yes,Direct,.js,Yes,Detect imports of Kendo UI components.,Contemporary,Still widely used in enterprise front-end development.,Easy validation via library references.
UI Kony,Low-code platform for building multi-channel applications.,Framework,Yes,Direct,".xml, .js",Yes,Detect Kony-specific project files or configs.,Contemporary,Popular for mobile-first enterprise apps.,Detection through proprietary artifacts.
UI Sencha,JavaScript framework for building cross-platform web apps.,Framework,Yes,Direct,.js,Yes,Detect Ext JS or Sencha-specific APIs in code.,Legacy,Adoption declining with newer frameworks.,Detection via code analysis.
Unix/Shell Scripts,Scripts for automating tasks in Unix/Linux environments.,Language,Yes,Direct,".sh, .ksh",No,Detect shell script files with Unix commands.,Contemporary,Core for system automation and DevOps.,Easy detection via extension and shebang.
UX - Visual designers,Role focused on visual aspects of the user experience.,Role,No,Not Applicable,N/A,N/A,N/A,Contemporary,Cannot validate in code repositories.,Design-based role.
UX Architect,Role responsible for defining user experience strategy and architecture.,Role,No,Not Applicable,N/A,N/A,N/A,Contemporary,High-level role focused on UX planning.,Cannot validate in code.
UX Designers and Visual Designers,"Roles for creating seamless, intuitive user interfaces and visual designs.",Role,No,Not Applicable,N/A,N/A,N/A,Contemporary,Important in front-end design workflows.,Cannot validate in code repositories.
UX high fidelity wire frames,Design practice for creating detailed wireframes for user interfaces.,Concept,No,Not Applicable,N/A,N/A,N/A,Contemporary,Essential for UX prototyping.,Cannot validate in code.
Velocimetrics,Real-time network and business flow monitoring platform for financial systems.,Tool (Monitoring),Partial,Inferred,".xml, .json",Yes,Detect Velocimetrics configs in monitoring scripts.,Contemporary,Used in low-latency trading environments.,Detection depends on proprietary configs.
Vertica,High-performance analytical database optimized for big data analytics.,Technology (Database),Yes,Direct,".sql, .conf",Yes,Detect Vertica-specific SQL extensions and configs.,Contemporary,Popular for large-scale analytics workloads.,Detection via queries and config references.
Voice Infrastructure,Network and system architecture for voice communication systems.,Concept,No,Not Applicable,N/A,N/A,N/A,Contemporary,Critical in telecom systems but not code-based.,Cannot validate in code repositories.
Voice Network Portfolio - all products,Suite of technologies for managing enterprise voice networks.,Concept,No,Not Applicable,N/A,N/A,N/A,Contemporary,Includes VoIP and SIP-based systems.,Cannot validate in code.
Voice XML,XML-based standard for creating voice user interfaces.,Language,Yes,Direct,.vxml,No,Detect VXML files containing voice interaction tags.,Legacy,Adoption declining with modern voice APIs.,Easy detection via file extension.
Waterline,Data catalog platform for metadata management and governance.,Tool (Data Governance),Partial,Inferred,".json, .xml",Yes,Detect Waterline-specific metadata configs.,Contemporary,Important for data cataloging in big data.,Detection via proprietary configs.
Web Dynpro,SAP’s framework for developing web-based user interfaces.,Framework,Yes,Direct,".wdyn, .xml",Yes,Detect Web Dynpro-specific artifacts in SAP projects.,Legacy,Being phased out in favor of SAP Fiori.,Validation via proprietary extensions.
Web Method,Integration platform for B2B and SOA applications by Software AG.,Technology (Integration),Yes,Direct,".xml, .java",Yes,Detect WebMethods adapter configs and flow services.,Contemporary,Still widely used in large enterprises.,Easy detection via project artifacts.
Weblogic Format,Likely refers to Oracle WebLogic application server configurations.,Technology (Middleware),Yes,Direct,.xml,Yes,Detect WebLogic-specific deployment descriptors and configs.,Contemporary,Still relevant for hosting enterprise apps.,Detection via proprietary XML structures.
WebScience MQ,Middleware for message queuing in enterprise applications.,Technology (Messaging),Yes,Direct,".mqsc, .cfg",Yes,Detect MQ scripts and configs referencing WebScience MQ.,Legacy,Superseded by IBM MQ and modern messaging tools.,Validation depends on proprietary scripts.
